epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,352.394,1.54419,0.86423,0.91067,0.78923,0.72793,0.76418,0.27886,2.19787,1.15287,1.09222,0.000507115,0.000507115,0.000507115
89,356.948,1.52618,0.82783,0.93088,0.7718,0.74793,0.76428,0.28576,2.18098,1.14719,1.08763,0.000447606,0.000447606,0.000447606
90,360.148,1.61435,0.91169,0.91804,0.76534,0.78373,0.76486,0.27518,2.19095,1.14674,1.08939,0.00039264,0.00039264,0.00039264
91,363.304,1.68334,0.86954,0.95661,0.79487,0.78329,0.76729,0.26931,2.19912,1.16056,1.09452,0.00034227,0.00034227,0.00034227
92,368.146,1.62314,0.89096,0.93049,0.75267,0.76587,0.72381,0.26634,2.18625,1.15293,1.09386,0.000296546,0.000296546,0.000296546
93,372.792,1.50607,0.82315,0.89258,0.74648,0.78373,0.71708,0.26658,2.20148,1.15498,1.09752,0.000255513,0.000255513,0.000255513
94,375.863,1.59224,0.84583,0.92979,0.75544,0.7795,0.72855,0.26669,2.21051,1.16042,1.10119,0.000219212,0.000219212,0.000219212
95,379.038,1.56054,0.83379,0.92879,0.7729,0.78373,0.7308,0.26367,2.20998,1.16429,1.09977,0.000187678,0.000187678,0.000187678
96,382.389,1.54838,0.84356,0.90396,0.76089,0.78373,0.73037,0.26062,2.22284,1.16306,1.10229,0.000160943,0.000160943,0.000160943
97,386.922,1.57179,0.82473,0.92277,0.76299,0.78074,0.73289,0.26127,2.23047,1.16641,1.10401,0.000139032,0.000139032,0.000139032
98,390.066,1.51517,0.79557,0.90081,0.75725,0.77579,0.73185,0.26102,2.23238,1.16688,1.103,0.000121968,0.000121968,0.000121968
99,393.22,1.56242,0.84715,0.90832,0.7468,0.75389,0.73102,0.26187,2.24929,1.16751,1.1092,0.000109768,0.000109768,0.000109768
100,396.446,1.59537,0.84324,0.89538,0.73967,0.76058,0.73086,0.25863,2.24501,1.16572,1.11091,0.000102443,0.000102443,0.000102443
